output_index,source_index,selection_rank,uncertainty_block,selection_key_sha256,prompt
0,5,406,1,150e923f5a1e3d7758946722a7f912f4b6fddf8021bc86b26d0bf0343ff036d7,a shower toilet and sink in a basement bathroom
1,7,534,2,1c1d87a1e284a63dd0b7280bdfd02354b912c6f65b07bf4a58cc56a8adcf79a7,The front end of a red motorcycle that is on display.
2,12,206,0,0a5c977ad8ebbe38fed012297a298fed06bbb61b159b7a482a36655d4bd40c6a,"A building wall and pair of doors that are open, along with vases of flowers on the outside of the building."
3,19,212,0,0a85f44a0e877d0ebf1bc61072844db560de85fcc1b0e94733987f3948c8a8e1,Cars are parked on the the street in front of the building.
4,21,186,0,099e970e2e1a637294fb416ee1b00b08880d96468be9052b802a319c7f0ae461,A bus traveling down a curvy road behind a black car.
5,30,841,3,2b0fe9e13a1684c2a25c506def0a3dfd3444def27cd1e5e9db0d4d3e70669058,Three birds walking around a dry grass field.
6,45,887,3,2d199dd6de552a06efab4d2f4b605dda8239c6032b143ca808804319b46c2024,A pontoon boat ferry full of passengers pushes off from shore.
7,59,357,1,12e01d0d5d2001c3dfef2bd7046454aa149dafdd9647013f42a5524689c4903e,Two zebras fighting in a cloud of dust
8,62,51,0,02a2d3e3a743208c6bea34188b7114eb56a07aaad506486a27ede14356b97c84,A white horse standing in a corral looking on.
9,65,911,3,2e54077cf7f4197be5a014f5d2d2488b48246bdd9b51711c3db07b1f8eabda7e,A woman touching her skis going down a ski hill.
10,68,618,2,201167c40445956b865ae950e1d0bce0ed5961c2ab2cbb27480d311d9bcc645c,Man in yellow and black body suit on skateboard.
11,74,891,3,2d44964cfeb03a4df9430c159f374eb81fb1d173872c70e3afef69950c07cc4e,A man wearing glasses eating a glazed donut out of doors.
12,76,472,1,198433f64d0fcb42a7fa8a30bdc5456cb3e38b0f172d737c24939fc10d8cd4d5,Three female workers stand in front of rows of pastries.
13,77,28,0,01b781385efed95a0be80e49e91b84e1cc6cfbd63f70e35f5446ceba0a28e612,a close up of a grill of doughnuts
14,78,704,2,24c1a7ecff5c2d4d804f273b3af2830c09fed271dae7144b3b0efc22c68a145e,A sandwich on a plate served with garnish.
15,79,990,3,33000a6d1a157034de49b6619a40e47731215ed25e44034d0d4bcded3234879d,A man holding up what appears to be a chocolate desert.
16,80,288,1,0e9629669ca4fe190c7125a9968dfe40c3458a0238841a17b4364d79efc2c9e7,Man holding a ball he is about to throw.
17,85,336,1,11c8d53b752bd0ddd25fbc5a14e535cc40ad51d5220b74b91b9a2a5e69e33313,a room with some big window on the side of it
18,95,138,0,076d9d21d8f08243c717b9aa48edcaee06cd9a9bd501754748f63d264a2ce9f0,A man in bowler hat and lab coat by people in a tv frame.
19,103,819,3,2a4b6ccf54e92bf789e7ff6195c968a781703ec19ff59c5a487c78d2e81685af,Some people chilling on the couch playing with a Nintendo Wii
20,110,770,3,2850612adb170059e01a681294ea746cd5ca5c325e01d22a6bec0ca109146a56,A Man skis using a sail in open snow-packed field.
21,114,471,1,198250d6e4a2e6072911d0c58fe088c8b2a7c0940ffc9622d1639479cfd46b0f,"A batter, catcher and umpire in a baseball game with man recording."
22,125,842,3,2b1483658225082ba12203491d3fdc4c06eb00afc617e20348bcfb2bce5ab6a9,Bunch of flowers sitting in vase filled with water and rocks on bottom
23,129,981,3,327941d432a5d3eed5d75c348b4178f33451269022e84e8674e15bd3c57838b3,Person cooking an eggs on a black pot on a stove.
24,151,587,2,1eabdcd8195a699cc83dec68ee74f0a84051c94412ff1d0dce23dbf7aabc0f94,A man uses his computer on a park bench.
25,156,6,0,006f279171802b88c28a5e56edf4f1ec33d98dab7879a2c95cf3358d14f0fdd2,Two giraffes eat from a tall food post in their enclosure.
26,159,291,1,0f14e190bee952652e9e0b7edddb65897fc49ffd57b10ffe7ee98aab6abe50a4,A herd of giraffes are playing in a field.
27,160,352,1,126a5913a572186b18918c561d49ad8d3978f9fdf3d7281e9efdc842a6d0cde1,A view from the inside of a train from a side window.
28,162,267,1,0dc5fb95ad8971fbddc31c206fad0dbc2adc21b18b09227394e801c2fc309e00,a train that is next to a train track
29,164,796,3,2929051f747feac4f70dad6ed7fbb712c5e5ec08d53bec381bcaf4858fb9da85,A couple of people that are standing near a train.
30,174,144,0,0793059ea3a89dcadbed15fcd9b2225a3d602834ab4045eaa00fbbfbe1686448,A person with an umbrella and two dogs walking in the snow.
31,176,99,0,0544befa043d07b04e2713191695c2addea8a082a5b57fd6af8ac0ad0e94b8e3,Men race on wheeled vehicles towed by a group of husky dogs.
32,177,893,3,2d6db830e0282d3ada7e632baa8f47f4e9104c62dc88bcdcecc0a479d329b2fd,A chair and umbrella sitting on a beach near a person.
33,178,75,0,045b3d7084e4750cdf319d4073c3087d5e6e82ca7065f656fb7b8e25053972f2,"A man wearing red shirt, tie and glasses."
34,179,340,1,11e09d4f4df4a3169aac135050213e0095457bddd5bd29fed428b91a41e3f971,A grey and white cat lays in a sink.
35,180,488,1,1a432ec4cc10892475a8cf4b6bf5f12d55085f762c7045452e6c8d94c75a00c5,A man using his laptop computer while a cat sits on his lap.
36,181,985,3,3296ea81b7e98bf21f59cb13c93f04e4f821aaf5d218a734e9754ea8104cebab,Several people waiting on the side of train tracks as a train with it;s lights on comes down the track.
37,197,695,2,2440ae882a615c77c7f724db4abe94eb34bbc2e90715e4d26889eedbdd65d387,The pitcher  on the mound has just let go of a baseball directed to the batter.
38,202,648,2,216d8156c8be0673f940cea642416333550c016c666b46e946421b79dddb009d,A lower shot of someone riding their skateboard.
39,203,500,2,1a98fb1383baa93d9b9c624f0f91a379d09a59fcfa4ef08a033f1765c6dff618,"A salad is in a red container and has lettuce, tomatoes and bits of carrots in it."
40,212,920,3,2eccf80889fb150d4cb4d14517de9f5cecc06381d91973e905a419cd6238c95a,Hot dog with mustard on it sitting on a white napkin.
41,215,372,1,13d2f4f2b82a359848f45d1eb2a8e4fc95d63dd96943394afb1ff66609dd9a60,A bedroom with a large bed sitting next to a black dresser.
42,221,125,0,06dbb2dc268fdf483cc41dcc4edd2d2217a9cf652b7f650b80fabafbe0c2def9,Two pieces of pizza are served on a plate.
43,234,367,1,13a7fde4e912fdb4be8fb1a31b28e70fa0924d0204a00edb43045b914b342d6f,Scissors with orange handles are in a container with pens.
