page	experiment	seed	source	description
1	v4		prediction_target_toy_v4_constant_norm/aggregate/swd_manifold_tradeoff.png	v4 汇总：生成 SWD 与流形偏离之间的权衡。
2	v4		prediction_target_toy_v4_constant_norm/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
3	v4		prediction_target_toy_v4_constant_norm/seed20260807/D512/curv0p5/scale_constant_norm/loss_v/H128/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
4	v4		prediction_target_toy_v4_curved_screen/aggregate/swd_manifold_tradeoff.png	v4 汇总：生成 SWD 与流形偏离之间的权衡。
5	v4		prediction_target_toy_v4_curved_screen/run_seed20260817/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
6	v4		prediction_target_toy_v4_curved_screen/run_seed20260817/seed20260817/D512/curv0p5/scale_unit_rms/loss_v/H256/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
7	v4		prediction_target_toy_v4_curved_screen/run_seed20260818/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
8	v4		prediction_target_toy_v4_curved_screen/run_seed20260819/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
9	v4		prediction_target_toy_v4_curved_screen/run_seed20260820/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
10	v4		prediction_target_toy_v4_direct_loss/aggregate/swd_manifold_tradeoff.png	v4 汇总：生成 SWD 与流形偏离之间的权衡。
11	v4		prediction_target_toy_v4_direct_loss/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
12	v4		prediction_target_toy_v4_direct_loss/seed20260807/D512/curv0p5/scale_unit_rms/loss_direct/H128/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
13	v4		prediction_target_toy_v4_main/aggregate/swd_manifold_tradeoff.png	v4 汇总：生成 SWD 与流形偏离之间的权衡。
14	v4		prediction_target_toy_v4_main/seed20260807/D512/curv0/scale_unit_rms/loss_v/H1024/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
15	v4		prediction_target_toy_v4_main/seed20260807/D512/curv0/scale_unit_rms/loss_v/H128/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
16	v4		prediction_target_toy_v4_main/seed20260807/D512/curv0/scale_unit_rms/loss_v/H256/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
17	v4		prediction_target_toy_v4_main/seed20260807/D512/curv0/scale_unit_rms/loss_v/H512/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
18	v4		prediction_target_toy_v4_main/seed20260807/D512/curv0/scale_unit_rms/loss_v/H64/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
19	v4		prediction_target_toy_v4_main/seed20260807/D512/curv0p5/scale_unit_rms/loss_v/H1024/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
20	v4		prediction_target_toy_v4_main/seed20260807/D512/curv0p5/scale_unit_rms/loss_v/H128/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
21	v4		prediction_target_toy_v4_main/seed20260807/D512/curv0p5/scale_unit_rms/loss_v/H256/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
